date,year,month,decade,era,home_team,away_team,home_score,away_score,goal_diff,total_goals,result,went_to_shootout,shootout_winner,shootout_first_shooter,tournament,tournament_tier,is_high_stakes,city,country,neutral,has_home_advantage,total_goals_recorded,own_goals_count,penalties_count,unique_scorers
1885-03-14,1885,3,1880,Pioneer Era (pre-1900),England,Wales,1,1,0,2,draw,False,,,British Home Championship,3,False,Blackburn,England,False,True,0,0,0,0
1885-03-14,1885,3,1880,Pioneer Era (pre-1900),Scotland,Northern Ireland,8,2,6,10,home_win,False,,,British Home Championship,3,False,Glasgow,Scotland,False,True,0,0,0,0
1885-03-21,1885,3,1880,Pioneer Era (pre-1900),England,Scotland,1,1,0,2,draw,False,,,British Home Championship,3,False,London,England,False,True,0,0,0,0
1885-03-23,1885,3,1880,Pioneer Era (pre-1900),Wales,Scotland,1,8,-7,9,away_win,False,,,British Home Championship,3,False,Wrexham,Wales,False,True,0,0,0,0
1885-04-11,1885,4,1880,Pioneer Era (pre-1900),Northern Ireland,Wales,2,8,-6,10,away_win,False,,,British Home Championship,3,False,Belfast,Ireland,False,True,0,0,0,0
1885-11-28,1885,11,1880,Pioneer Era (pre-1900),United States,Canada,0,1,-1,1,away_win,False,,,Friendly,4,False,Newark,United States,False,True,0,0,0,0
1886-02-27,1886,2,1880,Pioneer Era (pre-1900),Wales,Northern Ireland,5,0,5,5,home_win,False,,,British Home Championship,3,False,Wrexham,Wales,False,True,0,0,0,0
1886-03-13,1886,3,1880,Pioneer Era (pre-1900),Northern Ireland,England,1,6,-5,7,away_win,False,,,British Home Championship,3,False,Belfast,Ireland,False,True,0,0,0,0
1886-03-20,1886,3,1880,Pioneer Era (pre-1900),Northern Ireland,Scotland,2,7,-5,9,away_win,False,,,British Home Championship,3,False,Belfast,Ireland,False,True,0,0,0,0
1886-03-27,1886,3,1880,Pioneer Era (pre-1900),Scotland,England,1,1,0,2,draw,False,,,British Home Championship,3,False,Glasgow,Scotland,False,True,0,0,0,0
1886-03-29,1886,3,1880,Pioneer Era (pre-1900),Wales,England,1,3,-2,4,away_win,False,,,British Home Championship,3,False,Wrexham,Wales,False,True,0,0,0,0
1886-04-10,1886,4,1880,Pioneer Era (pre-1900),Scotland,Wales,4,1,3,5,home_win,False,,,British Home Championship,3,False,Glasgow,Scotland,False,True,0,0,0,0
1886-11-25,1886,11,1880,Pioneer Era (pre-1900),United States,Canada,3,2,1,5,home_win,False,,,Friendly,4,False,Newark,United States,False,True,0,0,0,0
1887-02-05,1887,2,1880,Pioneer Era (pre-1900),England,Northern Ireland,7,0,7,7,home_win,False,,,British Home Championship,3,False,Sheffield,England,False,True,0,0,0,0
1887-02-19,1887,2,1880,Pioneer Era (pre-1900),Scotland,Northern Ireland,4,1,3,5,home_win,False,,,British Home Championship,3,False,Glasgow,Scotland,False,True,0,0,0,0
1887-02-26,1887,2,1880,Pioneer Era (pre-1900),England,Wales,4,0,4,4,home_win,False,,,British Home Championship,3,False,London,England,False,True,0,0,0,0
1887-03-12,1887,3,1880,Pioneer Era (pre-1900),Northern Ireland,Wales,4,1,3,5,home_win,False,,,British Home Championship,3,False,Belfast,Ireland,False,True,0,0,0,0
1887-03-19,1887,3,1880,Pioneer Era (pre-1900),England,Scotland,2,3,-1,5,away_win,False,,,British Home Championship,3,False,Blackburn,England,False,True,0,0,0,0
1887-03-21,1887,3,1880,Pioneer Era (pre-1900),Wales,Scotland,0,2,-2,2,away_win,False,,,British Home Championship,3,False,Wrexham,Wales,False,True,0,0,0,0
1888-02-04,1888,2,1880,Pioneer Era (pre-1900),England,Wales,5,1,4,6,home_win,False,,,British Home Championship,3,False,Crewe,England,False,True,0,0,0,0
1888-03-03,1888,3,1880,Pioneer Era (pre-1900),Wales,Northern Ireland,11,0,11,11,home_win,False,,,British Home Championship,3,False,Wrexham,Wales,False,True,0,0,0,0
1888-03-10,1888,3,1880,Pioneer Era (pre-1900),Scotland,Wales,5,1,4,6,home_win,False,,,British Home Championship,3,False,Edinburgh,Scotland,False,True,0,0,0,0
1888-03-17,1888,3,1880,Pioneer Era (pre-1900),Scotland,England,0,5,-5,5,away_win,False,,,British Home Championship,3,False,Glasgow,Scotland,False,True,0,0,0,0
1888-03-24,1888,3,1880,Pioneer Era (pre-1900),Northern Ireland,Scotland,2,10,-8,12,away_win,False,,,British Home Championship,3,False,Belfast,Ireland,False,True,0,0,0,0
1888-04-07,1888,4,1880,Pioneer Era (pre-1900),Northern Ireland,England,1,5,-4,6,away_win,False,,,British Home Championship,3,False,Belfast,Ireland,False,True,0,0,0,0
1888-09-19,1888,9,1880,Pioneer Era (pre-1900),Scotland,Canada,4,0,4,4,home_win,False,,,Friendly,4,False,Glasgow,Scotland,False,True,0,0,0,0
1889-02-23,1889,2,1880,Pioneer Era (pre-1900),England,Wales,4,1,3,5,home_win,False,,,British Home Championship,3,False,Stoke-on-Trent,England,False,True,0,0,0,0
1889-03-02,1889,3,1880,Pioneer Era (pre-1900),England,Northern Ireland,6,1,5,7,home_win,False,,,British Home Championship,3,False,Liverpool,England,False,True,0,0,0,0
1889-03-09,1889,3,1880,Pioneer Era (pre-1900),Scotland,Northern Ireland,7,0,7,7,home_win,False,,,British Home Championship,3,False,Glasgow,Scotland,False,True,0,0,0,0
1889-04-13,1889,4,1880,Pioneer Era (pre-1900),England,Scotland,2,3,-1,5,away_win,False,,,British Home Championship,3,False,London,England,False,True,0,0,0,0
1889-04-15,1889,4,1880,Pioneer Era (pre-1900),Wales,Scotland,0,0,0,0,draw,False,,,British Home Championship,3,False,Wrexham,Wales,False,True,0,0,0,0
1889-04-27,1889,4,1880,Pioneer Era (pre-1900),Northern Ireland,Wales,1,3,-2,4,away_win,False,,,British Home Championship,3,False,Belfast,Ireland,False,True,0,0,0,0
1890-02-08,1890,2,1890,Pioneer Era (pre-1900),Wales,Northern Ireland,5,2,3,7,home_win,False,,,British Home Championship,3,False,Shrewsbury,England,True,False,0,0,0,0
1890-03-15,1890,3,1890,Pioneer Era (pre-1900),Northern Ireland,England,1,9,-8,10,away_win,False,,,British Home Championship,3,False,Belfast,Ireland,False,True,0,0,0,0
1890-03-15,1890,3,1890,Pioneer Era (pre-1900),Wales,England,1,3,-2,4,away_win,False,,,British Home Championship,3,False,Wrexham,Wales,False,True,0,0,0,0
1890-03-22,1890,3,1890,Pioneer Era (pre-1900),Scotland,Wales,5,0,5,5,home_win,False,,,British Home Championship,3,False,Paisley,Scotland,False,True,0,0,0,0
1890-03-29,1890,3,1890,Pioneer Era (pre-1900),Northern Ireland,Scotland,1,4,-3,5,away_win,False,,,British Home Championship,3,False,Belfast,Ireland,False,True,0,0,0,0
1890-04-05,1890,4,1890,Pioneer Era (pre-1900),Scotland,England,1,1,0,2,draw,False,,,British Home Championship,3,False,Glasgow,Scotland,False,True,0,0,0,0
1891-02-07,1891,2,1890,Pioneer Era (pre-1900),Northern Ireland,Wales,7,2,5,9,home_win,False,,,British Home Championship,3,False,Belfast,Ireland,False,True,0,0,0,0
1891-03-07,1891,3,1890,Pioneer Era (pre-1900),England,Wales,4,1,3,5,home_win,False,,,British Home Championship,3,False,Sunderland,England,False,True,0,0,0,0
1891-03-07,1891,3,1890,Pioneer Era (pre-1900),England,Northern Ireland,6,1,5,7,home_win,False,,,British Home Championship,3,False,Wolverhampton,England,False,True,0,0,0,0
1891-03-21,1891,3,1890,Pioneer Era (pre-1900),Wales,Scotland,3,4,-1,7,away_win,False,,,British Home Championship,3,False,Wrexham,Wales,False,True,0,0,0,0
1891-03-28,1891,3,1890,Pioneer Era (pre-1900),Scotland,Northern Ireland,2,1,1,3,home_win,False,,,British Home Championship,3,False,Glasgow,Scotland,False,True,0,0,0,0
1891-04-04,1891,4,1890,Pioneer Era (pre-1900),England,Scotland,2,1,1,3,home_win,False,,,British Home Championship,3,False,Blackburn,England,False,True,0,0,0,0
1892-02-27,1892,2,1890,Pioneer Era (pre-1900),Wales,Northern Ireland,1,1,0,2,draw,False,,,British Home Championship,3,False,Bangor,Wales,False,True,0,0,0,0
1892-03-05,1892,3,1890,Pioneer Era (pre-1900),Northern Ireland,England,0,2,-2,2,away_win,False,,,British Home Championship,3,False,Belfast,Ireland,False,True,0,0,0,0
1892-03-05,1892,3,1890,Pioneer Era (pre-1900),Wales,England,0,2,-2,2,away_win,False,,,British Home Championship,3,False,Wrexham,Wales,False,True,0,0,0,0
1892-03-19,1892,3,1890,Pioneer Era (pre-1900),Northern Ireland,Scotland,2,3,-1,5,away_win,False,,,British Home Championship,3,False,Belfast,Ireland,False,True,0,0,0,0
1892-03-26,1892,3,1890,Pioneer Era (pre-1900),Scotland,Wales,6,1,5,7,home_win,False,,,British Home Championship,3,False,Edinburgh,Scotland,False,True,0,0,0,0
1892-04-02,1892,4,1890,Pioneer Era (pre-1900),Scotland,England,1,4,-3,5,away_win,False,,,British Home Championship,3,False,Glasgow,Scotland,False,True,0,0,0,0
1893-02-25,1893,2,1890,Pioneer Era (pre-1900),England,Northern Ireland,6,1,5,7,home_win,False,,,British Home Championship,3,False,Birmingham,England,False,True,0,0,0,0
